Name,Usage,Type,SubType,Material Density,Elastic Modulus,Poisson Ratio,Material CTE,Fatigue Exponent,Fatigue Coefficient,Thermal Conductivity,Tg,Shape Factor,Material Class,Fracture Strength,Created By,Modified By,Notes
HITACHI CEL-9200 HF9,,ELASTIC,ISO,1.90E-09,27000,0.3,8.00E-06,-8.60E-02,3.20E-03,0.9,115,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
HITACHI CEL-9200 HF10,,ELASTIC,ISO,1.90E-09,27000,0.3,8.00E-06,-8.60E-02,3.20E-03,0.9,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
HITACHI CEL-9240 HF10,,ELASTIC,ISO,1.90E-09,33000,0.3,7.00E-06,-8.60E-02,3.20E-03,2.9,115,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
HITACHI CEL-9700 HF10,,ELASTIC,ISO,1.90E-09,27000,0.3,6.00E-06,-8.60E-02,3.20E-03,0.9,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
HITACHI CEL-9750 HF10,,ELASTIC,ISO,1.90E-09,27000,0.3,7.00E-06,-8.60E-02,3.20E-03,2.7,145,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
HITACHI CEL-9750 ZHF10,,ELASTIC,ISO,1.90E-09,26000,0.3,7.00E-06,-8.60E-02,3.20E-03,2.3,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
HITACHI GE-100,POTTING,ELASTIC,ISO,1.90E-09,23000,0.3,9.00E-06,-8.60E-02,3.20E-03,2.4,150,,POLYMER,,"ANSYS, Inc.",VKQT38 @ 2018-09-13 14:40:23,
HITACHI GE-110,,ELASTIC,ISO,1.90E-09,22000,0.3,9.00E-06,-8.60E-02,3.20E-03,2.3,160,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
HUMISEAL_1B31,POTTING,ELASTIC,ISO,9.00E-10,"2000@-40C, 1050@20C, 8.5@60C",0.49,"1.7E-4@-65C, 1.7E-4@14C, 3.4E-4@14.5C, 3.4E-4@125C",-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 10:40:19,
KEVLAR 29,,ELASTIC,ISO,1.47E-09,70500,0.35,-1.22E-06,-8.60E-02,3.20E-03,0.04,,,POLYMER,3.62E+03,"ANSYS, Inc.","ANSYS, Inc.",
KEVLAR 49,,ELASTIC,ISO,1.47E-09,112400,0.35,-1.50E-06,-8.60E-02,3.20E-03,0.04,,,POLYMER,3.62E+03,"ANSYS, Inc.","ANSYS, Inc.",
KOVAR,LEAD / PAD,ELASTIC,ISO,8.40E-09,138000,0.32,5.30E-06,-7.19E-02,5.02E-03,17.5,,,ALLOY,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA,LEAD / PAD / POTTING / DIE,ELASTIC,ISO,1.20E-09,"1964@-40C, 1753@25C, 1024@140C",0.35,"6.2E-5@138.9C, 6E-5@139.1C",-8.60E-02,3.20E-03,0.3,,,ALLOY,,"ANSYS, Inc.",UIA69701 @ 2018-06-21 13:12:51,
KYOCERA KE-300AH,,ELASTIC,ISO,1.90E-09,13500,0.3,1.50E-05,-8.60E-02,3.20E-03,2.3,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-300K,,ELASTIC,ISO,1.90E-09,12500,0.3,1.80E-05,-8.60E-02,3.20E-03,2.3,175,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-300TS-1,,ELASTIC,ISO,1.90E-09,12500,0.3,1.80E-05,-8.60E-02,3.20E-03,2.3,170,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-320H,,ELASTIC,ISO,1.90E-09,17000,0.3,1.20E-05,-8.60E-02,3.20E-03,2.3,160,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-850S,,ELASTIC,ISO,1.90E-09,16000,0.3,2.10E-05,-8.60E-02,3.20E-03,2.3,170,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-850SH,,ELASTIC,ISO,1.90E-09,22000,0.3,2.20E-05,-8.60E-02,3.20E-03,2.3,170,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-850SP,,ELASTIC,ISO,1.90E-09,16000,0.3,2.10E-05,-8.60E-02,3.20E-03,2.3,185,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-870,,ELASTIC,ISO,1.90E-09,13500,0.3,1.50E-05,-8.60E-02,3.20E-03,3.4,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-1000SV,,ELASTIC,ISO,1.90E-09,12500,0.3,1.50E-05,-8.60E-02,3.20E-03,2.3,200,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-G300FF,,ELASTIC,ISO,1.90E-09,13000,0.3,2.00E-05,-8.60E-02,3.20E-03,2.3,165,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-G1250 AH-GL,,ELASTIC,ISO,1.90E-09,23000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.9,140,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-G1250 AH-J,,ELASTIC,ISO,1.90E-09,29000,0.3,7.00E-06,-8.60E-02,3.20E-03,2.5,140,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-G1250 AH-W3E,,ELASTIC,ISO,1.90E-09,25000,0.3,9.00E-06,-8.60E-02,3.20E-03,2.6,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-G1250 TC-S3,,ELASTIC,ISO,1.90E-09,23000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.9,140,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-G1250 TC-S3U,,ELASTIC,ISO,1.90E-09,23000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.9,140,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-G1250 TC-S3W,,ELASTIC,ISO,1.90E-09,23000,0.3,9.00E-06,-8.60E-02,3.20E-03,2.4,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-G3000D,,ELASTIC,ISO,1.90E-09,23000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.9,115,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-G3000N-AS,,ELASTIC,ISO,1.90E-09,23000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.9,120,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
KYOCERA KE-G5000,,ELASTIC,ISO,1.90E-09,25000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.9,110,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
LAMINATE-BGA,,ELASTIC,ISO,"1.90e-9@0C, 1.89e-9@50C, 1.88e-9@100C, 1.85e-9@150C","15168@0C, 15167@50C, 15166@100C, 15160@150C",0.2,1.50E-05,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
LCP,,ELASTIC,ISO,1.42E-09,9660,0.2,1.20E-05,-8.60E-02,3.20E-03,0.56,,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
LIQUID CRYSTAL POLYMER,,ELASTIC,ISO,1.42E-09,9660,0.2,1.20E-05,-8.60E-02,3.20E-03,0.56,,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
