Name,Usage,Type,SubType,Material Density,Elastic Modulus,Poisson Ratio,Material CTE,Fatigue Exponent,Fatigue Coefficient,Thermal Conductivity,Tg,Shape Factor,Material Class,Fracture Strength,Created By,Modified By,Notes
POLYPROPYLENE,,ELASTIC,ISO,9.15E-10,1139,0.4,6.00E-05,-8.60E-02,3.20E-03,0.145,-10,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
POTTING MATERIAL,POTTING,ELASTIC,ISO,1.80E-09,11700,0.3,1.70E-04,-8.60E-02,3.20E-03,0.3,,,POLYMER,1.50E+01,"ANSYS, Inc.",shoetzel @ 2020-09-23 08:06:45,
POTTING MATERIAL HENKEL (HYSOL) US5500,POTTING,ELASTIC,ISO,9.70E-10,"52.7@-40C, 47.8@-25C, 29.3@0C, 11.3@25C, 5.2@65C, 4.2@85C, 3.3@125C, 3.3@150C",0.49,5.20E-04,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 10:48:59,
PSA 3M 9460,PAD,ELASTIC,ISO,1.10E-09,"503@-40C, 0.1@25C, 0.1@175C",0.46,"1.29E-4@-0.1C, 3.4E-4@0.1C",-8.60E-02,3.20E-03,0.3,,,ALLOY,,"ANSYS, Inc.",UIA69701 @ 2018-07-12 08:28:34,
PSA 3M VHB F9469PC,POTTING,ELASTIC,ISO,9.80E-10,0.5,0.49,7.70E-04,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 10:50:42,
PSA 3M VHB F9473PC,POTTING,ELASTIC,ISO,9.80E-10,0.5,0.49,7.70E-04,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 10:52:19,
PSA 9085,POTTING,ELASTIC,ISO,9.80E-10,"503.3@-40C, 0.1@25C, 0.1@175C",0.45,"1.29E-4@-50C, 1.29E-4@0C, 3.4E-4@1C, 3.4E-4@150C",-8.60E-02,3.20E-03,0.3,,,ALLOY,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 10:55:21,
QUAL SDR LAM (QC MEAS),POTTING,ELASTIC,ISO,1.66E-09,"115000@-20C, 115000@20C, 110000@100C, 100000@140C",0.3,1.78E-05,-8.60E-02,3.20E-03,0.3,95,,ALLOY,,"ANSYS, Inc.",VKQT38 @ 2019-08-08 16:06:27,
QUAL SDR MOLD (QC MEAS),POTTING,ELASTIC,ISO,1.66E-09,"115000@-20C, 115000@20C, 110000@100C, 100000@140C",0.3,1.80E-05,-8.60E-02,3.20E-03,0.3,95,,ALLOY,,"ANSYS, Inc.",VKQT38 @ 2019-08-08 16:05:40,
QUALCOMM PMX24,DIE,ELASTIC,ISO,2.33E-09,130000,0.18,"2.8E-6@-14C, 2.801E-6@20.4C, 2.812E-6@46.3C, 2.882E-6@65.7C, 3.138E-6@80.2C, 3.719E-6@91.1C, 4.584E-6@99.3C, 5.509E-6@105.4C, 6.3E-6@110C, 6.774E-6@112.7C",-8.60E-02,3.20E-03,15.6,110,,CERAMIC,7.00E+03,"ANSYS, Inc.",UIC05170 @ 2019-07-22 09:52:21,
QUALCOMM QET5100,DIE,ELASTIC,ISO,2.33E-09,130000,0.18,"2.8E-6@-14C, 2.801E-6@20.4C, 2.812E-6@46.3C, 2.882E-6@65.7C, 3.138E-6@80.2C, 3.719E-6@91.1C, 4.584E-6@99.3C, 5.509E-6@105.4C, 6.3E-6@110C, 6.774E-6@112.7C",-8.60E-02,3.20E-03,15.6,110,,CERAMIC,7.00E+03,"ANSYS, Inc.",UIC05170 @ 2019-07-22 09:55:17,
QUALCOMM SA415 LAM (QC MEAS),POTTING,ELASTIC,ISO,1.66E-09,"115000@-20C, 115000@20C, 110000@100C, 100000@140C",0.3,1.83E-05,-8.60E-02,3.20E-03,0.3,117,,ALLOY,,"ANSYS, Inc.",VKQT38 @ 2019-08-08 16:05:05,
QUALCOMM SA415 MOLD (QC MEAS),POTTING,ELASTIC,ISO,1.66E-09,"115000@-20C, 115000@20C, 110000@100C, 100000@140C",0.3,9.00E-06,-8.60E-02,3.20E-03,0.3,117,,ALLOY,,"ANSYS, Inc.",VKQT38 @ 2019-08-08 16:04:22,
QUALCOMM SA415M LAMINATE,POTTING,ELASTIC,ISO,1.66E-09,"115000@-20C, 115000@20C, 110000@100C, 100000@140C",0.3,"1.1E-5@50C, 2.576E-5@118C",-8.60E-02,3.20E-03,0.3,117,,ALLOY,,"ANSYS, Inc.",UIC05170 @ 2019-07-08 13:07:44,
QUALCOMM SA415M OVERMOLD,POTTING,ELASTIC,ISO,1.66E-09,"115000@-20C, 115000@20C, 110000@100C, 100000@140C",0.3,"1.1E-5@-12.1C, 1.1E-5@23.7C, 1.104E-5@50.7C, 1.127E-5@70.8C, 1.218E-5@86C, 1.437E-5@97.3C, 1.778E-5@105.8C, 2.152E-5@112.2C, 2.475E-5@117C",-8.60E-02,3.20E-03,0.3,117,,ALLOY,,"ANSYS, Inc.",UIC05170 @ 2019-07-22 09:47:00,
QUALCOMM SDR8150,POTTING,ELASTIC,ISO,1.66E-09,"115000@-20C, 115000@20C, 110000@100C, 100000@140C",0.3,"8.756E-6@13.2C, 8.924E-6@46.7C, 1.011E-5@67.9C, 1.317E-5@81.3C, 1.685E-5@89.7C, 1.969E-5@95C, 2.196E-5@99.2C, 2.605E-5@108.3C, 2.984E-5@127.9C",-8.60E-02,3.20E-03,0.3,95,,ALLOY,,"ANSYS, Inc.",UIC05170 @ 2019-07-22 09:53:52,
S-GLASS,FIBER,ELASTIC,ISO,2.49E-09,89000,0.22,2.85E-06,-8.60E-02,3.20E-03,1.3,,,CERAMIC,4.71E+03,"ANSYS, Inc.","ANSYS, Inc.",
SEMICOSIL_964 WACKER,POTTING,ELASTIC,ISO,1.00E-09,0.3,0.49,3.25E-04,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 10:56:40,
SHIN ETSU KMC-103,,ELASTIC,ISO,1.90E-09,13000,0.3,2.00E-05,-8.60E-02,3.20E-03,0.6,175,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-120MK,,ELASTIC,ISO,1.90E-09,23000,0.3,2.00E-05,-8.60E-02,3.20E-03,2.5,170,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-125,,ELASTIC,ISO,1.90E-09,21000,0.3,2.00E-05,-8.60E-02,3.20E-03,2.3,170,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-130,,ELASTIC,ISO,1.90E-09,14000,0.3,1.90E-05,-8.60E-02,3.20E-03,0.6,165,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-180,,ELASTIC,ISO,1.90E-09,13000,0.3,1.30E-05,-8.60E-02,3.20E-03,0.6,165,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-184,,ELASTIC,ISO,1.90E-09,13000,0.3,1.30E-05,-8.60E-02,3.20E-03,0.6,165,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-188,,ELASTIC,ISO,1.90E-09,13000,0.3,1.30E-05,-8.60E-02,3.20E-03,0.6,170,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-211,,ELASTIC,ISO,1.90E-09,19000,0.3,1.10E-05,-8.60E-02,3.20E-03,1,190,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-218,,ELASTIC,ISO,1.90E-09,18000,0.3,1.30E-05,-8.60E-02,3.20E-03,0.7,185,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-284,,ELASTIC,ISO,1.90E-09,25000,0.3,9.00E-06,-8.60E-02,3.20E-03,2.6,135,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-289,,ELASTIC,ISO,1.90E-09,19000,0.3,1.10E-05,-8.60E-02,3.20E-03,1,145,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-300,,ELASTIC,ISO,1.90E-09,22000,0.3,1.10E-05,-8.60E-02,3.20E-03,2.4,135,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-520,,ELASTIC,ISO,1.90E-09,22000,0.3,2.10E-05,-8.60E-02,3.20E-03,2.1,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-2520,,ELASTIC,ISO,1.90E-09,18000,0.3,1.30E-05,-8.60E-02,3.20E-03,0.9,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-2520H-7,,ELASTIC,ISO,1.90E-09,18000,0.3,1.30E-05,-8.60E-02,3.20E-03,0.9,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-2520H-8,,ELASTIC,ISO,1.90E-09,18000,0.3,1.40E-05,-8.60E-02,3.20E-03,0.9,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-3510,,ELASTIC,ISO,1.90E-09,21000,0.3,9.00E-06,-8.60E-02,3.20E-03,2.2,145,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-3580,,ELASTIC,ISO,1.90E-09,21000,0.3,1.10E-05,-8.60E-02,3.20E-03,2.3,135,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-3800,,ELASTIC,ISO,1.90E-09,22000,0.3,9.00E-06,-8.60E-02,3.20E-03,2.3,135,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHIN ETSU KMC-6000,,ELASTIC,ISO,1.90E-09,22000,0.3,8.00E-06,-8.60E-02,3.20E-03,2.4,140,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SHINITSU 383,POTTING,ELASTIC,ISO,1.01E-09,"0.8@-40C, 0.7@0C, 0.8@25C, 0.8@50C, 0.9@100C, 1@150C",0.49,3.60E-04,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 10:59:13,
SIFEL 614 MOATS,POTTING,ELASTIC,ISO,1.85E-09,"6.5@-40C, 1.2@0C, 0.9@25C, 0.8@125C",0.49,3.00E-04,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 11:01:02,
SIGEL DC 3-6635 (BRANCHED),RESIN / POTTING,ELASTIC,ISO,9.70E-10,0,0.49,4.04E-04,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",shoetzel @ 2021-02-19 14:19:12,
SILCON MAY23,DIE,ELASTIC,ISO,2.40E-12,22000,0.278,2.60E-06,-8.60E-02,3.20E-03,0.3,,,ALLOY,,"ANSYS, Inc.",UIC05170 @ 2019-05-23 17:07:55,
SILICON,PAD / DIE,ELASTIC,ISO,2.33E-09,130000,0.18,2.60E-06,-8.60E-02,3.20E-03,15.6,,,CERAMIC,7.00E+03,"ANSYS, Inc.",shoetzel @ 2020-08-21 14:07:48,
SILICONE RTV566,,ELASTIC,ISO,1.50E-09,0.6,0.49,3.30E-04,-8.60E-02,3.20E-03,5.5,,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SILVER,PAD,ELASTIC,ISO,1.05E-08,76000,0.37,1.97E-05,-8.60E-02,3.20E-03,406,,,ALLOY,,"ANSYS, Inc.","ANSYS, Inc.",
STEEL,LEAD / PAD,ELASTIC,ISO,7.85E-09,190000,0.27,1.20E-05,-8.60E-02,4.25E-03,50.2,"1,095.00",,ALLOY,2.50E+02,"ANSYS, Inc.","ANSYS, Inc.",
SUMI EME-6300H,,ELASTIC,ISO,1.90E-09,11300,0.25,1.77E-05,-8.60E-02,3.20E-03,0.67,170,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMI EME-6600CS,,ELASTIC,ISO,1.90E-09,20600,0.25,1.04E-05,-8.60E-02,3.20E-03,0.75,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMI EME-6600H,,ELASTIC,ISO,1.90E-09,26500,0.25,8.34E-06,-8.60E-02,3.20E-03,0.92,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMI EME-6650R,,ELASTIC,ISO,1.90E-09,18600,0.25,1.15E-05,-8.60E-02,3.20E-03,0.67,165,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMI EME-6710S,,ELASTIC,ISO,1.90E-09,11300,0.25,1.37E-05,-8.60E-02,3.20E-03,0.67,165,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-6300H,,ELASTIC,ISO,1.90E-09,11800,0.3,1.70E-05,-8.60E-02,3.20E-03,0.67,170,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-6600CS,,ELASTIC,ISO,1.90E-09,26000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.75,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-6600H,,ELASTIC,ISO,1.90E-09,20000,0.3,8.00E-06,-8.60E-02,3.20E-03,0.92,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-6650R,,ELASTIC,ISO,1.90E-09,19000,0.3,1.10E-05,-8.60E-02,3.20E-03,0.75,165,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-6710S,,ELASTIC,ISO,1.90E-09,13000,0.3,1.30E-05,-8.60E-02,3.20E-03,0.67,165,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-7304,,ELASTIC,ISO,1.90E-09,18000,0.3,1.30E-05,-8.60E-02,3.20E-03,0.7,150,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-E630L,,ELASTIC,ISO,1.90E-09,26000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.75,135,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G600,,ELASTIC,ISO,1.90E-09,24000,0.3,1.00E-05,-8.60E-02,3.20E-03,2.5,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G600F,,ELASTIC,ISO,1.90E-09,24500,0.3,9.00E-06,-8.60E-02,3.20E-03,0.9,135,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G630L,,ELASTIC,ISO,1.90E-09,26000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.75,125,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G631H,,ELASTIC,ISO,1.90E-09,25000,0.3,9.00E-06,-8.60E-02,3.20E-03,1,135,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G700,,ELASTIC,ISO,1.90E-09,19000,0.3,1.20E-05,-8.60E-02,3.20E-03,2,130,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G700L,,ELASTIC,ISO,1.90E-09,25000,0.3,8.00E-06,-8.60E-02,3.20E-03,0.9,140,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G720,,ELASTIC,ISO,1.90E-09,24000,0.3,9.00E-06,-8.60E-02,3.20E-03,0.9,170,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G750,,ELASTIC,ISO,1.90E-09,26000,0.3,1.00E-05,-8.60E-02,3.20E-03,0.75,165,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G755,,ELASTIC,ISO,1.90E-09,23000,0.3,9.00E-06,-8.60E-02,3.20E-03,2.4,175,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G760 TYPE YA,,ELASTIC,ISO,1.90E-09,26000,0.3,8.00E-06,-8.60E-02,3.20E-03,0.9,155,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G770,,ELASTIC,ISO,1.90E-09,26000,0.3,9.00E-06,-8.60E-02,3.20E-03,0.8,140,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G770 TYPE LP,,ELASTIC,ISO,1.90E-09,25000,0.3,9.00E-06,-8.60E-02,3.20E-03,1,135,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO EME-G790,,ELASTIC,ISO,1.90E-09,25000,0.3,9.00E-06,-8.60E-02,3.20E-03,0.9,160,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
SUMITOMO G720E THERMOSET,POTTING,ELASTIC,ISO,1.66E-09,15500,0.38,"1.1E1@194.9C, 4.6E1@195.1C",-8.60E-02,3.20E-03,0.3,195,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-07-02 15:53:00,
SUPPORTPIN,,ELASTIC,ISO,1.00E-12,1000000,0.3,1.00E-07,-8.60E-02,3.20E-03,0.0001,,,,,,,
TANTALUM,,ELASTIC,ISO,1.67E-08,186000,0.34,6.50E-06,-8.60E-02,3.20E-03,54,,,ALLOY,,"ANSYS, Inc.","ANSYS, Inc.",
TCA DOW CORNING 1-4173,POTTING,ELASTIC,ISO,2.70E-09,"61@-40C, 51@0C, 48@40C, 46@80C, 44@120C, 42@170C",0.48,1.25E-04,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 11:06:13,
TESTPT,,ELASTIC,ISO,1.00E-12,10,0.3,1.00E-07,-8.60E-02,3.20E-03,0.0001,,,,,,,
TI_DRV8703 QFN,LEAD / PAD / POTTING / DIE,ELASTIC,ISO,1.90E-09,26500,0.3,9.60E-06,-8.60E-02,3.20E-03,0.85,150,,POLYMER,,"ANSYS, Inc.",VKQT38 @ 2018-08-10 10:54:30,
UF,POTTING,ELASTIC,ISO,1.67E-09,7600,0.3,1.90E-05,-8.60E-02,3.20E-03,0.3,150,,ALLOY,,"ANSYS, Inc.",UIA69701 @ 2018-07-05 14:58:07,
USG,LEAD / PAD,ELASTIC,ISO,8.90E-09,66000,0.18,5.70E-07,-8.60E-02,3.20E-03,385,,,ALLOY,,"ANSYS, Inc.",shoetzel @ 2020-08-21 14:07:36,
WLP676,LEAD / PAD / WIREBOND / POTTING / DIE,ELASTIC,ISO,1.87E-09,"74600@-50C, 73200@-30C, 73600@20C, 72800@110C, 71400@130C, 69400@150C, 68300@170C",0.35,"2.23E-6@-40C, 2.23E-6@89.9C, 3.77E-6@90.1C, 3.77E-6@150C",-8.60E-02,3.20E-03,0.3,90,,ALLOY,,"ANSYS, Inc.",UIA69701 @ 2018-08-01 10:29:29,
WTR2965,DIE,ELASTIC,ISO,1.90E-09,15168,0.3,5.00E-06,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",VKQT38 @ 2019-03-06 15:38:12,
WTR2965 MOLD,DIE,ELASTIC,ISO,2.02E-12,22000,0.4,"7E-6@164C, 3E-5@166C",-8.60E-02,3.20E-03,0.3,165,,POLYMER,,"ANSYS, Inc.",UIC05170 @ 2019-06-20 09:00:53,
ZERO STIFFNESS,RESIN,ELASTIC,ISO,1.66E-09,1000,0.3,1.50E-15,-8.60E-02,3.20E-03,0.0001,,,ALLOY,,"ANSYS, Inc.",shoetzel @ 2021-02-22 16:03:12,
ZINC OXIDE,,ELASTIC,ISO,5.68E-09,100000,0.363,4.00E-06,-8.60E-02,3.20E-03,21,,,CERAMIC,5.00E+01,"ANSYS, Inc.","ANSYS, Inc.",
